SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON,DaysSinceLast,IS_HOME_GAME,INJURY_SCORE
22018,1610612744,GSW,Golden State Warriors,0021801018,2019-03-13,GSW @ HOU,1,240,106,42,85,0.494,12,32,0.375,10,10,1.0,12,32,44,28,7,2,14,20,2.0,2018-19,3.0,0,59.07000000000001
22018,1610612744,GSW,Golden State Warriors,0021801038,2019-03-16,GSW @ OKC,1,238,110,39,83,0.47,15,35,0.429,17,22,0.773,8,45,53,25,10,6,16,22,22.0,2018-19,3.0,0,73.36
22018,1610612744,GSW,Golden State Warriors,0021801055,2019-03-18,GSW @ SAS,0,241,105,41,88,0.466,13,39,0.333,10,12,0.833,7,36,43,27,7,6,13,20,-6.0,2018-19,2.0,0,50.69
22018,1610612744,GSW,Golden State Warriors,0021801062,2019-03-19,GSW @ MIN,1,240,117,44,91,0.484,19,42,0.452,10,14,0.714,8,38,46,39,6,7,13,25,10.0,2018-19,1.0,0,-37.18000000000001
22018,1610612744,GSW,Golden State Warriors,0021801079,2019-03-21,GSW vs. IND,1,240,112,44,89,0.494,13,36,0.361,11,16,0.688,10,40,50,32,6,8,15,19,23.0,2018-19,2.0,1,-49.91999999999999
22018,1610612744,GSW,Golden State Warriors,0021801092,2019-03-23,GSW vs. DAL,0,241,91,36,90,0.4,4,30,0.133,15,21,0.714,8,28,36,22,6,2,10,22,-35.0,2018-19,2.0,1,28.37999999999999
22018,1610612744,GSW,Golden State Warriors,0021801101,2019-03-24,GSW vs. DET,1,240,121,46,74,0.622,13,25,0.52,16,19,0.842,7,30,37,31,3,5,13,23,7.0,2018-19,1.0,1,40.900000000000006
22018,1610612744,GSW,Golden State Warriors,0021801118,2019-03-27,GSW @ MEM,1,241,118,45,84,0.536,15,31,0.484,13,15,0.867,6,40,46,30,9,7,14,19,15.0,2018-19,3.0,0,-52.72000000000001
22018,1610612744,GSW,Golden State Warriors,0021801132,2019-03-29,GSW @ MIN,0,266,130,46,98,0.469,18,40,0.45,20,28,0.714,8,37,45,27,11,3,14,24,-1.0,2018-19,2.0,0,-58.99000000000001
22018,1610612744,GSW,Golden State Warriors,0021801150,2019-03-31,GSW vs. CHA,1,238,137,53,88,0.602,21,33,0.636,10,12,0.833,10,40,50,41,7,10,15,19,47.0,2018-19,2.0,1,-23.229999999999997
22018,1610612744,GSW,Golden State Warriors,0021801164,2019-04-02,GSW vs. DEN,1,238,116,50,92,0.543,13,34,0.382,3,8,0.375,13,42,55,36,11,11,24,21,14.0,2018-19,2.0,1,13.399999999999999
22018,1610612744,GSW,Golden State Warriors,0021801179,2019-04-04,GSW @ LAL,1,241,108,43,98,0.439,18,46,0.391,4,5,0.8,9,42,51,30,11,5,14,18,18.0,2018-19,2.0,0,-107.93
22018,1610612744,GSW,Golden State Warriors,0021801191,2019-04-05,GSW vs. CLE,1,240,120,46,87,0.529,20,37,0.541,8,8,1.0,4,34,38,29,2,8,13,21,6.0,2018-19,1.0,1,27.669999999999995
22018,1610612744,GSW,Golden State Warriors,0021801205,2019-04-07,GSW vs. LAC,1,238,131,53,97,0.546,12,37,0.324,13,15,0.867,11,37,48,34,16,8,9,22,27.0,2018-19,2.0,1,-35.31
22018,1610612744,GSW,Golden State Warriors,0021801215,2019-04-09,GSW @ NOP,1,241,112,43,89,0.483,12,30,0.4,14,21,0.667,11,47,58,25,8,3,14,17,9.0,2018-19,2.0,0,75.25999999999999
22018,1610612744,GSW,Golden State Warriors,0021801225,2019-04-10,GSW @ MEM,0,239,117,46,92,0.5,13,30,0.433,12,14,0.857,9,30,39,32,3,5,14,17,-15.0,2018-19,1.0,0,22.989999999999995
42018,1610612744,GSW,Golden State Warriors,0041800141,2019-04-13,GSW vs. LAC,1,241,121,45,92,0.489,14,30,0.467,17,20,0.85,12,42,54,31,9,14,21,22,17.0,2018-19,3.0,1,-5.09
42018,1610612744,GSW,Golden State Warriors,0041800142,2019-04-15,GSW vs. LAC,0,240,131,40,75,0.533,11,28,0.393,40,45,0.889,7,31,38,31,11,6,22,31,-4.0,2018-19,2.0,1,-5.09
42018,1610612744,GSW,Golden State Warriors,0041800143,2019-04-18,GSW @ LAC,1,242,132,51,93,0.548,15,35,0.429,15,18,0.833,10,40,50,35,4,11,12,28,27.0,2018-19,3.0,0,12.339999999999993
42018,1610612744,GSW,Golden State Warriors,0041800144,2019-04-21,GSW @ LAC,1,239,113,42,89,0.472,12,31,0.387,17,19,0.895,11,38,49,27,5,2,13,27,8.0,2018-19,3.0,0,12.339999999999993
42018,1610612744,GSW,Golden State Warriors,0041800145,2019-04-24,GSW vs. LAC,0,240,121,43,96,0.448,15,39,0.385,20,22,0.909,15,24,39,31,7,3,8,23,-8.0,2018-19,3.0,1,12.339999999999993
42018,1610612744,GSW,Golden State Warriors,0041800146,2019-04-26,GSW @ LAC,1,239,129,47,89,0.528,10,30,0.333,25,31,0.806,7,39,46,32,6,9,10,24,19.0,2018-19,2.0,0,12.339999999999993
42018,1610612744,GSW,Golden State Warriors,0041800221,2019-04-28,GSW vs. HOU,1,239,104,38,75,0.507,7,22,0.318,21,27,0.778,8,30,38,24,7,3,20,24,4.0,2018-19,2.0,1,12.109999999999992
42018,1610612744,GSW,Golden State Warriors,0041800222,2019-04-30,GSW vs. HOU,1,239,115,42,91,0.462,11,36,0.306,20,24,0.833,18,27,45,24,10,5,12,23,6.0,2018-19,2.0,1,32.38999999999999
42018,1610612744,GSW,Golden State Warriors,0041800223,2019-05-04,GSW @ HOU,0,266,121,42,95,0.442,14,33,0.424,23,29,0.793,7,28,35,27,6,6,8,22,-5.0,2018-19,4.0,0,32.38999999999999
42018,1610612744,GSW,Golden State Warriors,0041800224,2019-05-06,GSW @ HOU,0,239,108,42,90,0.467,8,33,0.242,16,23,0.696,8,35,43,24,6,2,11,21,-4.0,2018-19,2.0,0,18.99999999999999
42018,1610612744,GSW,Golden State Warriors,0041800225,2019-05-08,GSW vs. HOU,1,240,104,39,85,0.459,13,37,0.351,13,18,0.722,12,30,42,28,6,1,15,19,5.0,2018-19,2.0,1,17.00999999999999
42018,1610612744,GSW,Golden State Warriors,0041800226,2019-05-10,GSW @ HOU,1,241,118,42,85,0.494,16,38,0.421,18,23,0.783,10,25,35,25,9,7,17,19,5.0,2018-19,2.0,0,94.77
42018,1610612744,GSW,Golden State Warriors,0041800311,2019-05-14,GSW vs. POR,1,240,116,42,84,0.5,17,33,0.515,15,18,0.833,11,31,42,30,13,8,14,24,22.0,2018-19,4.0,1,40.940000000000005
42018,1610612744,GSW,Golden State Warriors,0041800312,2019-05-16,GSW vs. POR,1,242,114,42,82,0.512,9,29,0.31,21,27,0.778,12,38,50,30,4,9,16,21,3.0,2018-19,2.0,1,40.940000000000005
42018,1610612744,GSW,Golden State Warriors,0041800313,2019-05-18,GSW @ POR,1,239,110,41,84,0.488,8,26,0.308,20,23,0.87,7,42,49,27,9,5,13,24,11.0,2018-19,2.0,0,40.940000000000005
42018,1610612744,GSW,Golden State Warriors,0041800314,2019-05-20,GSW @ POR,1,264,119,46,99,0.465,12,39,0.308,15,19,0.789,15,41,56,30,10,5,15,17,2.0,2018-19,2.0,0,65.58000000000001
42018,1610612744,GSW,Golden State Warriors,0041800401,2019-05-30,GSW @ TOR,0,239,109,34,78,0.436,12,31,0.387,29,31,0.935,9,29,38,29,6,2,16,27,-9.0,2018-19,10.0,0,53.5
42018,1610612744,GSW,Golden State Warriors,0041800402,2019-06-02,GSW @ TOR,1,240,109,38,82,0.463,13,34,0.382,20,23,0.87,6,36,42,34,7,5,15,26,5.0,2018-19,3.0,0,72.01
42018,1610612744,GSW,Golden State Warriors,0041800403,2019-06-05,GSW vs. TOR,0,241,109,36,91,0.396,12,36,0.333,25,30,0.833,13,28,41,25,8,3,14,21,-14.0,2018-19,3.0,1,87.18
42018,1610612744,GSW,Golden State Warriors,0041800404,2019-06-07,GSW vs. TOR,0,241,92,35,78,0.449,8,27,0.296,14,21,0.667,8,34,42,26,6,6,17,23,-13.0,2018-19,2.0,1,68.47
42018,1610612744,GSW,Golden State Warriors,0041800405,2019-06-10,GSW @ TOR,1,240,106,38,82,0.463,20,42,0.476,10,14,0.714,6,31,37,27,5,7,15,22,1.0,2018-19,3.0,0,13.45
42018,1610612744,GSW,Golden State Warriors,0041800406,2019-06-13,GSW vs. TOR,0,240,110,39,80,0.488,11,31,0.355,21,30,0.7,11,31,42,28,9,6,16,23,-4.0,2018-19,3.0,1,68.62
12019,1610612744,GSW,Golden State Warriors,0011900006,2019-10-05,GSW vs. LAL,0,240,101,35,89,0.393,11,42,0.262,20,26,0.769,10,37,47,20,10,2,16,27,-22.0,2019-20,114.0,1,15.520000000000003
12019,1610612744,GSW,Golden State Warriors,0011900035,2019-10-10,GSW vs. MIN,1,238,143,50,95,0.526,19,37,0.514,24,27,0.889,10,40,50,34,9,11,21,28,20.0,2019-20,5.0,1,-54.05000000000001
12019,1610612744,GSW,Golden State Warriors,0011900058,2019-10-14,GSW @ LAL,0,240,98,34,94,0.362,9,36,0.25,21,23,0.913,16,30,46,22,12,10,21,28,-6.0,2019-20,4.0,0,15.520000000000003
